technische metadata (drager)																		Waarde digitale drager						Inhoudelijke metadata											
drager.medium	drager.archiefnummer	drager.barcode	drager.dragertype	drager.Technische annotatie	drager.Technische annotatie	drager.archiefstatus	drager.depotstatus	drager.depotstatus.reden	drager.fabricagedatum	drager.fysieke staat	opbergeenheid.barcode	opbergeenheid.archiefnummer	opbergeenheid.locatie	drager.afmetingen	drager.kleur	drager.materiaalsoort	drager.collectienummer	drager.medium	drager.archiefnummer	drager.archiefnummer.bron	drager.dragertype	drager.archiefstatus	drager.projectnaam	werk.titel	configuratie filenaam	realisatie.titel	expressie.titel	expressie.overige titel	expressie.annotatie	expressie.inhoudssamenvatting	expressie.productiejaar	publicatie.begindatum	publicatie.einddatum	publicatie.zendgemachtigde	publicatie.weeknummer
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1958					31 X 25,2 cm.		papier	2269.1.1	bestand	ntb	GDS002000031	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 22 - omroepgidsen	Omroepgidsen AVRO	AVRO bode	AVRO bode : voor radio en televisie	Uitgever: onbekend	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1958	30-11-1958	06-12-1958	AVRO	1958-48
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1958					31 X 25,2 cm.		papier	2269.1.1	bestand	ntb	GDS002000032	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 22 - omroepgidsen	Omroepgidsen AVRO	AVRO bode	AVRO bode : voor radio en televisie	Uitgever: onbekend	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1958	07-12-1958	13-12-1958	AVRO	1958-49
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1971					33,8 X 26 cm.		papier	2269.1.1	bestand	ntb	GDS002000033	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 21 omroepgidsen	Omroepgidsen AVRO	Televizier	Televizier : familie- en televisie weekblad	Uitgever: AVRO, Hilversum	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1971	02-01-1971	08-01-1971	AVRO	1971-01
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1971					33,8 X 26 cm.		papier	2269.1.1	bestand	ntb	GDS002000034	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 21 omroepgidsen	Omroepgidsen AVRO	Televizier	Televizier : familie- en televisie weekblad	Uitgever: AVRO, Hilversum	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1971	09-01-1971	15-01-1971	AVRO	1971-02
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1971					33,8 X 26 cm.		papier	2269.1.1	bestand	ntb	GDS002000035	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 21 omroepgidsen	Omroepgidsen AVRO	Televizier	Televizier : familie- en televisie weekblad	Uitgever: AVRO, Hilversum	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1971	16-01-1971	22-01-1971	AVRO	1971-03
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1971					33,8 X 26 cm.		papier	2269.1.1	bestand	ntb	GDS002000036	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 21 omroepgidsen	Omroepgidsen AVRO	Televizier	Televizier : familie- en televisie weekblad	Uitgever: AVRO, Hilversum	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1971	23-01-1971	29-01-1971	AVRO	1971-04
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1971					33,8 X 26 cm.		papier	2269.1.1	bestand	ntb	GDS002000037	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 21 omroepgidsen	Omroepgidsen AVRO	Televizier	Televizier : familie- en televisie weekblad	Uitgever: AVRO, Hilversum	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1971	04-09-1971	10-09-1971	AVRO	1971-36
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1971					33,8 X 26 cm.		papier	2269.1.1	bestand	ntb	GDS002000038	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 21 omroepgidsen	Omroepgidsen AVRO	Televizier	Televizier : familie- en televisie weekblad	Uitgever: AVRO, Hilversum	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1971	11-09-1971	17-09-1971	AVRO	1971-37
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1971					33,8 X 26 cm.		papier	2269.1.1	bestand	ntb	GDS002000039	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 21 omroepgidsen	Omroepgidsen AVRO	Televizier	Televizier : familie- en televisie weekblad	Uitgever: AVRO, Hilversum	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1971	18-09-1971	24-09-1971	AVRO	1971-38
papier			tijdschrift	Omroepgids AVRO		uitgangsmateriaal	in depot		1971					33,8 X 26 cm.		papier	2269.1.1	bestand	ntb	GDS002000040	PDF	consultatiekopie	BvdT Papier/Digitaliseren/2014/Omroepgidsen	Omroepgidsen	config file 21 omroepgidsen	Omroepgidsen AVRO	Televizier	Televizier : familie- en televisie weekblad	Uitgever: AVRO, Hilversum	[omroepnaam] gids van [begindag gids] [dd-mm-yyyy] tot en met [einddag gids] [dd-mm-yyyy]	1971	25-09-1971	01-10-1971	AVRO	1971-39
